id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;analysis_url;time_signature
6Ql7rNuoP90aIdgwQkPYBP;0.728;0.82;11;-6.198;0;0.031;0.00898;0.000216;0.176;0.652;124.001;https://api.spotify.com/v1/audio-analysis/6Ql7rNuoP90aIdgwQkPYBP;4
17kvxe79U3z1JFbQVKOWTI;0.765;0.624;2;-11.165;0;0.0356;0.533;0.777;0.0718;0.908;109.988;https://api.spotify.com/v1/audio-analysis/17kvxe79U3z1JFbQVKOWTI;4
2PIMvIwLS16zr5EBYss3pF;0.51;0.874;1;-3.557;1;0.0402;4.54e-05;2.04e-06;0.335;0.336;85.985;https://api.spotify.com/v1/audio-analysis/2PIMvIwLS16zr5EBYss3pF;4
23DrTyMvFVJKdIBNhibbca;0.746;0.676;6;-4.151;0;0.0343;0.12;7.73e-06;0.177;0.565;113.972;https://api.spotify.com/v1/audio-analysis/23DrTyMvFVJKdIBNhibbca;4
07IMjyn9gW77cR7APem5g6;0.491;0.704;3;-6.978;0;0.0464;0.0839;0.000529;0.105;0.515;147.116;https://api.spotify.com/v1/audio-analysis/07IMjyn9gW77cR7APem5g6;4
5KpG5ymS3CjAzNqefeyB54;0.729;0.906;5;-4.456;0;0.291;0.165;0.0;0.118;0.802;141.017;https://api.spotify.com/v1/audio-analysis/5KpG5ymS3CjAzNqefeyB54;4
5bLGQqcpsz5ISWeihZfJnR;0.587;0.61;10;-6.881;0;0.234;0.0402;0.0;0.167;0.556;130.063;https://api.spotify.com/v1/audio-analysis/5bLGQqcpsz5ISWeihZfJnR;4
1Z1xJmHIAoQMKCTBORITn4;0.605;0.663;11;-7.302;1;0.319;0.436;2.18e-05;0.164;0.365;163.842;https://api.spotify.com/v1/audio-analysis/1Z1xJmHIAoQMKCTBORITn4;4
1yu96jq2NsuaNS0U6TBWHI;0.546;0.641;11;-7.047;0;0.326;0.31;0.0;0.357;0.584;99.036;https://api.spotify.com/v1/audio-analysis/1yu96jq2NsuaNS0U6TBWHI;4
4Yk7nkmqitDCycO0Z0UsKe;0.384;0.827;5;-5.727;0;0.035;0.0421;0.526;0.111;0.502;86.12;https://api.spotify.com/v1/audio-analysis/4Yk7nkmqitDCycO0Z0UsKe;4
50J9zbu0UzOFnUVSjvecl7;0.649;0.734;8;-5.454;1;0.0529;0.345;0.00134;0.318;0.693;114.651;https://api.spotify.com/v1/audio-analysis/50J9zbu0UzOFnUVSjvecl7;4
0RRS27vZj5U0N2eIBctL4K;0.46;0.878;11;-5.564;1;0.0464;0.0817;5.58e-05;0.122;0.533;96.493;https://api.spotify.com/v1/audio-analysis/0RRS27vZj5U0N2eIBctL4K;4
4yWWuAW3bywNtneUa4L6YJ;0.531;0.793;1;-5.655;0;0.0306;0.0116;5.69e-05;0.113;0.228;87.001;https://api.spotify.com/v1/audio-analysis/4yWWuAW3bywNtneUa4L6YJ;4
3MdEnYp8pv39XHynVC8Lq0;0.562;0.47;6;-8.876;0;0.087;0.174;0.0297;0.213;0.215;169.925;https://api.spotify.com/v1/audio-analysis/3MdEnYp8pv39XHynVC8Lq0;4
37g06WD4w62ipxpBIbQN16;0.559;0.552;7;-8.414;1;0.0335;0.00888;0.367;0.0725;0.342;130.04;https://api.spotify.com/v1/audio-analysis/37g06WD4w62ipxpBIbQN16;4
2dsW7ufpe4Kzaai1oA2wR5;0.32;0.679;2;-5.439;0;0.0386;0.084;0.0;0.181;0.364;171.938;https://api.spotify.com/v1/audio-analysis/2dsW7ufpe4Kzaai1oA2wR5;3
