played_at;id;name;artists;album;duration_ms;explicit;href;is_local;popularity;uri
2022-07-31 11:16:32.686000+00:00;7bOncwCS9jPeL9wIHFvOWm;Onslaught;ALEX;Onslaught;288000;False;https://api.spotify.com/v1/tracks/7bOncwCS9jPeL9wIHFvOWm;False;32;spotify:track:7bOncwCS9jPeL9wIHFvOWm
2022-07-31 11:11:50.302000+00:00;7bOncwCS9jPeL9wIHFvOWm;Onslaught;ALEX;Onslaught;288000;False;https://api.spotify.com/v1/tracks/7bOncwCS9jPeL9wIHFvOWm;False;32;spotify:track:7bOncwCS9jPeL9wIHFvOWm
2022-07-31 09:56:06.908000+00:00;679ZxPQna36dJmMRvhFwU9;NOT A GOOD MAN WALKING;Liam St. John;NOT A GOOD MAN WALKING;176923;False;https://api.spotify.com/v1/tracks/679ZxPQna36dJmMRvhFwU9;False;43;spotify:track:679ZxPQna36dJmMRvhFwU9
2022-07-31 09:53:09.609000+00:00;6jXPZid0KLorvgIDP6TiSo;God's Gonna Cut You Down;Johnny Cash;American V: A Hundred Highways;158573;False;https://api.spotify.com/v1/tracks/6jXPZid0KLorvgIDP6TiSo;False;59;spotify:track:6jXPZid0KLorvgIDP6TiSo
2022-07-31 09:50:30.591000+00:00;2AdgUSSsAFinWsiHnYhhcN;I'm Going Monkey For Your Love;Son Of Dave;Call Me King;172613;False;https://api.spotify.com/v1/tracks/2AdgUSSsAFinWsiHnYhhcN;False;22;spotify:track:2AdgUSSsAFinWsiHnYhhcN
2022-07-31 09:47:37.634000+00:00;0pmS7QvJs6i2ENKjYpS52I;Crazy;Lara Price Band;I Got News;475026;False;https://api.spotify.com/v1/tracks/0pmS7QvJs6i2ENKjYpS52I;False;40;spotify:track:0pmS7QvJs6i2ENKjYpS52I
2022-07-31 09:39:42.299000+00:00;4RKoKePOnKpRlR68xyBQCn;Midnight Healing;Gene Deer;Soul Tender;459940;False;https://api.spotify.com/v1/tracks/4RKoKePOnKpRlR68xyBQCn;False;46;spotify:track:4RKoKePOnKpRlR68xyBQCn
2022-07-31 06:48:56.915000+00:00;4mG66afMX7T4uEVO51nA41;Liane's Ocean;Ensemble Galilei;From the Edge of the World;201653;False;https://api.spotify.com/v1/tracks/4mG66afMX7T4uEVO51nA41;False;32;spotify:track:4mG66afMX7T4uEVO51nA41
2022-07-31 06:21:02.901000+00:00;6QXieDRlH4Ofjg864USffV;Ella;Myrkur;Ella;234922;False;https://api.spotify.com/v1/tracks/6QXieDRlH4Ofjg864USffV;False;38;spotify:track:6QXieDRlH4Ofjg864USffV
2022-07-31 06:17:08.044000+00:00;2udCUsTYBRwFWmhojeQQcZ;Grå Hest;Osi And The Jupiter;Grå Hest;189544;False;https://api.spotify.com/v1/tracks/2udCUsTYBRwFWmhojeQQcZ;False;32;spotify:track:2udCUsTYBRwFWmhojeQQcZ
2022-07-30 16:56:52.957000+00:00;5P9qFmIiMqE6r2UfwVIdIZ;Krigsgaldr;Heilung;Ofnir;538320;False;https://api.spotify.com/v1/tracks/5P9qFmIiMqE6r2UfwVIdIZ;False;55;spotify:track:5P9qFmIiMqE6r2UfwVIdIZ
2022-07-30 15:28:03.700000+00:00;3nTuOhDiwvpSP6XeQRTEjn;La tierche Estampie royale;Anonymous;Vocal Music (Medieval) - Walther Von Der Vogelweide / Oswald Von Wolkenstein / Codax (Songs of Women in the Middle Ages);224000;False;https://api.spotify.com/v1/tracks/3nTuOhDiwvpSP6XeQRTEjn;False;32;spotify:track:3nTuOhDiwvpSP6XeQRTEjn
2022-07-30 13:08:21.084000+00:00;0VENdI1lQ2UN0cRQ6cMgXM;May The Light Embrace You;Chalmeris;May The Light Embrace You;100026;False;https://api.spotify.com/v1/tracks/0VENdI1lQ2UN0cRQ6cMgXM;False;35;spotify:track:0VENdI1lQ2UN0cRQ6cMgXM
2022-07-30 13:07:02.394000+00:00;4WTd5fsmO3SOtKeGsE0oEP;The lone wolf;Sagason;The lone wolf;249444;False;https://api.spotify.com/v1/tracks/4WTd5fsmO3SOtKeGsE0oEP;False;27;spotify:track:4WTd5fsmO3SOtKeGsE0oEP
2022-07-30 12:12:45.028000+00:00;7LAVhnLrNCCGUl5dkH7L7A;Piva;Joan Ambrosio Dalza;The Art of the Lute (The Best of Ronn McFarlane);130840;False;https://api.spotify.com/v1/tracks/7LAVhnLrNCCGUl5dkH7L7A;False;27;spotify:track:7LAVhnLrNCCGUl5dkH7L7A
2022-07-30 12:10:32.949000+00:00;275JRKfyX3lPT58fQ9TZjq;Branle of Apennine Mountains for Renaissance Lute;Andrei Krylov;Gothic Bard Fantasy for Medieval Lute, Guitar and Violin Inspired by Castles and Mountains of Italy, England and Ireland;146633;False;https://api.spotify.com/v1/tracks/275JRKfyX3lPT58fQ9TZjq;False;25;spotify:track:275JRKfyX3lPT58fQ9TZjq
2022-07-30 12:08:06.218000+00:00;72QjlGLeSzNeyoRsjKgEOJ;Ex Regali;Anon. Ludus Danielis;Magna Melodia - Medieval Music From The Time Of The Magna Carta;100666;False;https://api.spotify.com/v1/tracks/72QjlGLeSzNeyoRsjKgEOJ;False;28;spotify:track:72QjlGLeSzNeyoRsjKgEOJ
2022-07-30 11:57:42.837000+00:00;5z1uWePfercmUSC5eZJIza;Will yow Walke the Woods soe Wylde;William Byrd;Robin Hood: Elizabethan Ballad Settings;282733;False;https://api.spotify.com/v1/tracks/5z1uWePfercmUSC5eZJIza;False;15;spotify:track:5z1uWePfercmUSC5eZJIza
2022-07-30 09:17:51.965000+00:00;7nKrUtYTjyuUA684207xGQ;Weapon;Stick To Your Guns;Spectre;214874;False;https://api.spotify.com/v1/tracks/7nKrUtYTjyuUA684207xGQ;False;32;spotify:track:7nKrUtYTjyuUA684207xGQ
2022-07-30 09:06:43.462000+00:00;4CMn5XvyhMUckGFRCvBnNh;Open Up My Head;Stick To Your Guns;Spectre;196500;True;https://api.spotify.com/v1/tracks/4CMn5XvyhMUckGFRCvBnNh;False;32;spotify:track:4CMn5XvyhMUckGFRCvBnNh
2022-07-30 07:40:05.061000+00:00;1b9Kl9TJvHa6XfKUH9qytn;Highlander Love Story;Andrei Krylov;Fantasy Music Playlist for Celtic Violin, Medieval Lute, Classical Guitar Inspired by Viking, English, Scottish and Irish Folk Tales;194560;False;https://api.spotify.com/v1/tracks/1b9Kl9TJvHa6XfKUH9qytn;False;35;spotify:track:1b9Kl9TJvHa6XfKUH9qytn
2022-07-30 07:28:52.698000+00:00;0SZlLvjLFLa17f7K6hqnHY;Lament for Owen Roe O'Neill;Roxane Genot;Lament for Owen Roe O'Neill;172408;False;https://api.spotify.com/v1/tracks/0SZlLvjLFLa17f7K6hqnHY;False;31;spotify:track:0SZlLvjLFLa17f7K6hqnHY
2022-07-30 06:13:00.172000+00:00;0Patwsuj4zw4A2ODVMnR7G;Quest for the Holy Grail;Brandon Fiechter;Camelot;223200;False;https://api.spotify.com/v1/tracks/0Patwsuj4zw4A2ODVMnR7G;False;34;spotify:track:0Patwsuj4zw4A2ODVMnR7G
2022-07-30 06:00:03.949000+00:00;6zFbhOtTjvhgnSoDB44Pr4;Playwright's Lament;John Debney;The Sims Medieval, Vol. 2;68840;False;https://api.spotify.com/v1/tracks/6zFbhOtTjvhgnSoDB44Pr4;False;29;spotify:track:6zFbhOtTjvhgnSoDB44Pr4
