id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;analysis_url;time_signature
1b9Kl9TJvHa6XfKUH9qytn;0.282;0.388;8;-15.247;0;0.0537;0.925;0.273;0.314;0.262;114.572;https://api.spotify.com/v1/audio-analysis/1b9Kl9TJvHa6XfKUH9qytn;4
0SZlLvjLFLa17f7K6hqnHY;0.368;0.128;7;-15.891;0;0.0342;0.898;0.38;0.092;0.221;75.158;https://api.spotify.com/v1/audio-analysis/0SZlLvjLFLa17f7K6hqnHY;4
0Patwsuj4zw4A2ODVMnR7G;0.578;0.493;9;-13.095;0;0.0308;0.541;0.957;0.0957;0.576;100.032;https://api.spotify.com/v1/audio-analysis/0Patwsuj4zw4A2ODVMnR7G;3
6zFbhOtTjvhgnSoDB44Pr4;0.389;0.292;9;-9.672;0;0.03;0.888;0.000515;0.0834;0.544;79.118;https://api.spotify.com/v1/audio-analysis/6zFbhOtTjvhgnSoDB44Pr4;4
4LDXnOCkx6f7jo23c1zFaV;0.331;0.391;10;-16.427;0;0.0356;0.12;0.945;0.0968;0.0603;62.444;https://api.spotify.com/v1/audio-analysis/4LDXnOCkx6f7jo23c1zFaV;4
46fKM4f8Y8gjr68hgxOZCU;0.384;0.773;0;-4.377;1;0.113;0.896;0.000163;0.358;0.628;125.92;https://api.spotify.com/v1/audio-analysis/46fKM4f8Y8gjr68hgxOZCU;3
1hxLRJXfRPvtRRrgBuNxOM;0.19;0.863;7;-9.446;1;0.197;0.273;0.902;0.149;0.11;116.664;https://api.spotify.com/v1/audio-analysis/1hxLRJXfRPvtRRrgBuNxOM;4
4guHn2NQzdOLHy8ABHuVML;0.803;0.553;10;-8.299;0;0.331;0.277;4.24e-06;0.0987;0.442;130.016;https://api.spotify.com/v1/audio-analysis/4guHn2NQzdOLHy8ABHuVML;4
3hWfKBt3n7j1xqIy6LA5ve;0.653;0.945;5;-2.634;1;0.096;0.00561;0.915;0.439;0.326;126.093;https://api.spotify.com/v1/audio-analysis/3hWfKBt3n7j1xqIy6LA5ve;4
1agl5H5hFDpq1CWO9k9qR2;0.673;0.868;1;-5.753;0;0.205;0.0621;0.00086;0.23;0.643;134.526;https://api.spotify.com/v1/audio-analysis/1agl5H5hFDpq1CWO9k9qR2;4
3MBFJQZg5Pny6X3TT4zoA5;0.594;0.365;7;-7.62;1;0.0303;0.727;0.0;0.233;0.408;137.803;https://api.spotify.com/v1/audio-analysis/3MBFJQZg5Pny6X3TT4zoA5;4
3VzPylMTBhGNAiHRd9rmTV;0.582;0.188;11;-11.788;1;0.0375;0.369;0.525;0.146;0.0386;118.571;https://api.spotify.com/v1/audio-analysis/3VzPylMTBhGNAiHRd9rmTV;4
1xOXXYh6lTW8laxlW7JP2J;0.579;0.872;0;-6.126;1;0.159;0.159;0.0;0.0935;0.761;76.214;https://api.spotify.com/v1/audio-analysis/1xOXXYh6lTW8laxlW7JP2J;4
2dwxlqkszcY05AdHEZdCB6;0.262;0.918;9;-4.705;0;0.127;1.97e-05;0.000134;0.367;0.545;151.674;https://api.spotify.com/v1/audio-analysis/2dwxlqkszcY05AdHEZdCB6;4
1G8JYypmpUn0p6zOEWJjjb;0.519;0.917;11;-5.047;0;0.0607;8.48e-05;0.0;0.0568;0.544;152.908;https://api.spotify.com/v1/audio-analysis/1G8JYypmpUn0p6zOEWJjjb;4
5vaLI3MwAOhZBXK5FRKi6W;0.44;0.318;10;-18.15;1;0.0372;0.0461;0.977;0.304;0.371;100.363;https://api.spotify.com/v1/audio-analysis/5vaLI3MwAOhZBXK5FRKi6W;5
6oGBFOjOCgQF8K5fqQWC0f;0.442;0.291;5;-14.189;1;0.0421;0.696;1.57e-05;0.0746;0.426;121.968;https://api.spotify.com/v1/audio-analysis/6oGBFOjOCgQF8K5fqQWC0f;4
6B4i052YrXHwHIVcpT8vw6;0.463;0.952;0;-5.562;0;0.0821;0.00014;0.00763;0.209;0.135;84.945;https://api.spotify.com/v1/audio-analysis/6B4i052YrXHwHIVcpT8vw6;4
7nfrstTUcWVsIISuX5jpdL;0.338;0.891;0;-6.66;1;0.0496;9.25e-05;0.000209;0.113;0.134;185.202;https://api.spotify.com/v1/audio-analysis/7nfrstTUcWVsIISuX5jpdL;4
4YKeuSMFTdFZ8K6slh6ToD;0.25;0.881;2;-4.749;1;0.0404;1.86e-06;0.0038;0.287;0.545;163.893;https://api.spotify.com/v1/audio-analysis/4YKeuSMFTdFZ8K6slh6ToD;4
59uHihWjFTmj2Q2C0sAFBq;0.22;0.881;2;-5.344;1;0.0425;1.83e-05;0.000752;0.206;0.189;90.557;https://api.spotify.com/v1/audio-analysis/59uHihWjFTmj2Q2C0sAFBq;4
66zaM2EhtcdDHl2zEnQUgM;0.219;0.904;9;-5.776;1;0.101;0.000147;0.00857;0.525;0.281;181.916;https://api.spotify.com/v1/audio-analysis/66zaM2EhtcdDHl2zEnQUgM;4
6pzrVTHhzbffXGFSvDvcX4;0.622;0.173;2;-19.118;1;0.0363;0.472;0.223;0.114;0.0387;120.036;https://api.spotify.com/v1/audio-analysis/6pzrVTHhzbffXGFSvDvcX4;4
528KWNngYORvUkoixWpqqy;0.53;0.7;9;-9.35;0;0.0349;0.14;0.885;0.393;0.444;105.022;https://api.spotify.com/v1/audio-analysis/528KWNngYORvUkoixWpqqy;5
2X7Et4C0leLfXZwzRMeedr;0.684;0.299;9;-17.018;1;0.0398;0.622;0.897;0.0803;0.0371;104.988;https://api.spotify.com/v1/audio-analysis/2X7Et4C0leLfXZwzRMeedr;4
5hH032fQtaJZRaY8weyZZd;0.883;0.616;8;-10.011;1;0.0584;0.074;0.896;0.105;0.095;115.03;https://api.spotify.com/v1/audio-analysis/5hH032fQtaJZRaY8weyZZd;4
6mJw0a9A4ozjC8bJSLdGhY;0.836;0.355;11;-14.092;1;0.117;0.445;0.861;0.133;0.259;120.0;https://api.spotify.com/v1/audio-analysis/6mJw0a9A4ozjC8bJSLdGhY;4
